name,creator,url,image,registration
Aer Lingus,MonsterMatti,https://flightsim.to/file/6229/citation-cj4-aer-lingus-with-custom-interior,,
Air Canada (with custom Interior),MonsterMatti,https://flightsim.to/file/361/citation-cj4-air-canada,,
Air Canada Express Ice Blue,wassabi_sniper,https://flightsim.to/file/1134/cessna-citation-cj4-air-canada-express-ice-blue-old,,
American Eagle,Xander548,https://flightsim.to/file/1342/american-eagle-cj4,,
BlackDogINC,MonsterMatti,https://flightsim.to/file/5984/citation-cj4-blackdoginc-including-custom-interior,,
Blue C-3D,Stolidus,https://flightsim.to/file/4908/cj4-c-3d-b,,
Blue/White Polar,Windhover,https://flightsim.to/file/7654/citation-cj4-polar-livery,,
Bush League - The Dark Knight,Canuckshaw,https://mega.nz/file/l4dxXSoZ#zuDftKHZjl1dZpCK32WzA5zwlKvAJ5OjLkZnt2yzU4w,,
Dark Gray,Th3SimPilot,https://flightsim.to/file/4020/citation-cj4-dark-gray-4k,,
Dark Premium,MonsterMatti,https://flightsim.to/file/6069/citation-cj4-dark-premium,,
D-CHRA,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=dchra,,
Delta Connection,Xander548,https://flightsim.to/file/735/delta-connection-cj4,,
Grey And Blue (with custom Interior),MonsterMatti,https://flightsim.to/file/362/citation-cj4-grey-and-blue,,
Gunmetal ,twoseventyinc,https://flightsim.to/file/5171/cj4-gunmetal-livery-with-dark-interior,,
Hahn Air,MonsterMatti,https://flightsim.to/file/6092/citation-cj4-hahn-air,,
KLM,R1NS3,https://flightsim.to/file/261/klm-cj4,,
Luftambulanse,AviNjord,https://flightsim.to/file/404/luftambulanse-cessna-cj4,,
Lufthansa Flight Academy,ChristophT,https://flightsim.to/file/945/msfs2020-asobo-cessna-citation-cj4-lufthansa-flight-academy,,
Lufthansa Flight Academy,ChristophT,https://flightsim.to/file/945/msfs2020-asobo-cessna-citation-cj4-lufthansa-flight-academy,,
N220BA,Jan Kees Blom,https://flightsim.to/file/2299/cessna-cj4-citation-n220ba,,N220BA
N2RF,MonsterMatti,https://flightsim.to/file/6328/citation-cj4-n2rf,,
N481AM,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n481am,,N481AM
N760PT,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n760pt,,N760PT
N80HB,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n80hb,,N80HB
NASA,Tomahawk,https://flightsim.to/file/1252/nasa-cessna-citation-cj4,,
NASA Artemis,Tomahawk,https://flightsim.to/file/1253/nasa-artemis-mission-cessna-citation-cj4,,
Orange C-3D,Stolidus,https://flightsim.to/file/3068/livery-cessna-cj4-c-3d,,
Red Stripe,Windhover,https://flightsim.to/file/5176/citation-cj4-black-red-livery,,
Red/Black Talon,Windhover,https://flightsim.to/file/6575/citation-cj4-black-red-talon-livery,,
Red/Black/Gray,Th3SimPilot,https://flightsim.to/file/3850/citation-cj4-reg-black-gray,,
Silverbullet, twoseventyinc,https://flightsim.to/file/5172/cj4-silverbullet-livery-with-dark-interior,,
Testflight livery,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n52141,,
Transportes Coyote,Canuckshaw,https://mega.nz/file/g4VDGCSS#FNSMQFr8fY7EOO38YaZJD083H6qn_vKS-LXC03DxX-M,,
Weathered Citation CJ4,IASAI,https://flightsim.to/file/4006/weathered-citation-cj4,,
White Premium,MonsterMatti,https://flightsim.to/file/6068/citation-cj4-white-premium,,
Working Title Branded,Th3SimPilot,https://flightsim.to/file/3951/citation-cj4-working-title,,
Yellow Gray,Th3SimPilot,https://flightsim.to/file/3840/citation-cj4-yellow-gray,,
Yellow Stripes,Th3SimPilot,https://flightsim.to/file/3849/citation-cj4-yellow-stripes,,